customer_id,satisfaction_score,survey_date,tier,points
C084,8.0,2023-12-01,,
C054,6.0,2023-12-02,Bronze,8694.0
C071,3.0,2023-12-03,Bronze,7518.0
C046,9.0,2023-12-04,Platinum,1758.0
C045,6.0,2023-12-05,Silver,8368.0
C040,8.0,2023-12-06,,
C023,10.0,2023-12-07,,
C081,5.0,2023-12-08,,
C011,8.0,2023-12-09,,
C001,2.0,2023-12-10,Platinum,4963.0
C019,9.0,2023-12-11,,
C031,5.0,2023-12-12,Gold,9857.0
C074,7.0,2023-12-13,,
C034,10.0,2023-12-14,Bronze,3568.0
C091,7.0,2023-12-15,Platinum,8939.0
C005,5.0,2023-12-16,Platinum,9855.0
C077,9.0,2023-12-17,Bronze,5068.0
C078,6.0,2023-12-18,Gold,9598.0
C013,2.0,2023-12-19,Silver,3780.0
C032,4.0,2023-12-20,Bronze,6629.0
C056,6.0,2023-12-21,,
C089,7.0,2023-12-22,Bronze,6598.0
C027,2.0,2023-12-23,Platinum,2146.0
C043,7.0,2023-12-24,Gold,3744.0
C070,8.0,2023-12-25,Bronze,4682.0
C016,4.0,2023-12-26,,
C041,6.0,2023-12-27,,
C097,3.0,2023-12-28,,
C010,2.0,2023-12-29,Silver,2673.0
C073,6.0,2023-12-30,Silver,7192.0
C012,6.0,2023-12-31,Platinum,4523.0
C048,9.0,2024-01-01,,
C086,4.0,2024-01-02,Bronze,142.0
C029,3.0,2024-01-03,Platinum,6847.0
C094,4.0,2024-01-04,,
C006,5.0,2024-01-05,Platinum,4382.0
C067,3.0,2024-01-06,,
C066,6.0,2024-01-07,Gold,2391.0
C036,10.0,2024-01-08,Bronze,2443.0
C017,10.0,2024-01-09,Silver,3384.0
C050,8.0,2024-01-10,,
C035,6.0,2024-01-11,,
C008,3.0,2024-01-12,,
C096,6.0,2024-01-13,Silver,4564.0
C028,1.0,2024-01-14,,
C020,3.0,2024-01-15,Silver,4340.0
C082,8.0,2024-01-16,Gold,1961.0
C026,5.0,2024-01-17,,
C063,1.0,2024-01-18,Bronze,1427.0
C014,9.0,2024-01-19,,
C009,,,Gold,1501.0
C083,,,Gold,807.0
C064,,,Bronze,8156.0
C051,,,Bronze,9260.0
C024,,,Platinum,1130.0
C061,,,Bronze,3177.0
C025,,,Platinum,798.0
C039,,,Platinum,5760.0
C057,,,Silver,6199.0
C076,,,Bronze,5172.0
C030,,,Gold,3108.0
C092,,,Gold,3051.0
C042,,,Silver,4986.0
C022,,,Platinum,4305.0
C085,,,Gold,8597.0
C088,,,Platinum,6147.0
C098,,,Gold,8491.0
C021,,,Silver,4112.0
C090,,,Gold,9303.0
C038,,,Bronze,7550.0
C060,,,Silver,8054.0
C002,,,Gold,7304.0
C075,,,Bronze,1250.0
C080,,,Bronze,6697.0
C015,,,Silver,4883.0
C055,,,Gold,412.0
C052,,,Bronze,595.0
C007,,,Silver,8473.0
C099,,,Silver,6779.0
C044,,,Gold,948.0
